judge,candidate_chosen,candidate_not_chosen,session
11,13,1,Bowland030211data
4,13,14,Bowland030211data
6,6,12,Bowland030211data
4,10,13,Bowland030211data
6,3,12,Bowland030211data
11,10,1,Bowland030211data
6,3,11,Bowland030211data
9,13,10,Bowland030211data
2,3,14,Bowland030211data
4,10,1,Bowland030211data
11,3,10,Bowland030211data
9,10,12,Bowland030211data
4,11,1,Bowland030211data
5,11,3,Bowland030211data
9,12,3,Bowland030211data
4,11,6,Bowland030211data
11,3,5,Bowland030211data
9,3,6,Bowland030211data
12,3,6,Bowland030211data
12,3,8,Bowland030211data
5,11,14,Bowland030211data
2,14,11,Bowland030211data
9,6,3,Bowland030211data
8,5,1,Bowland030211data
6,11,5,Bowland030211data
9,3,11,Bowland030211data
9,6,11,Bowland030211data
4,6,8,Bowland030211data
9,6,3,Bowland030211data
5,12,14,Bowland030211data
6,5,8,Bowland030211data
8,7,5,Bowland030211data
11,5,8,Bowland030211data
4,12,8,Bowland030211data
9,3,5,Bowland030211data
6,3,8,Bowland030211data
8,7,8,Bowland030211data
11,11,8,Bowland030211data
6,3,8,Bowland030211data
5,12,5,Bowland030211data
2,9,11,Bowland030211data
12,8,12,Bowland030211data
8,6,8,Bowland030211data
7,12,8,Bowland030211data
6,1,8,Bowland030211data
4,5,12,Bowland030211data
9,5,1,Bowland030211data
11,11,9,Bowland030211data
8,9,6,Bowland030211data
12,11,12,Bowland030211data
7,11,12,Bowland030211data
5,10,5,Bowland030211data
4,10,5,Bowland030211data
12,11,2,Bowland030211data
7,11,5,Bowland030211data
2,15,9,Bowland030211data
12,2,1,Bowland030211data
11,15,9,Bowland030211data
6,9,1,Bowland030211data
7,6,5,Bowland030211data
9,15,1,Bowland030211data
10,6,1,Bowland030211data
7,6,9,Bowland030211data
5,13,10,Bowland030211data
4,10,15,Bowland030211data
3,2,1,Bowland030211data
8,10,9,Bowland030211data
7,10,9,Bowland030211data
12,9,1,Bowland030211data
10,9,1,Bowland030211data
12,13,9,Bowland030211data
10,10,9,Bowland030211data
6,13,9,Bowland030211data
9,4,15,Bowland030211data
2,15,8,Bowland030211data
8,10,15,Bowland030211data
12,18,13,Bowland030211data
7,10,15,Bowland030211data
11,17,15,Bowland030211data
10,10,15,Bowland030211data
1,13,15,Bowland030211data
4,13,15,Bowland030211data
5,17,13,Bowland030211data
3,15,2,Bowland030211data
7,13,15,Bowland030211data
6,7,13,Bowland030211data
3,17,15,Bowland030211data
8,15,13,Bowland030211data
10,17,15,Bowland030211data
11,17,8,Bowland030211data
9,10,4,Bowland030211data
4,3,13,Bowland030211data
10,17,18,Bowland030211data
8,13,11,Bowland030211data
2,8,16,Bowland030211data
1,13,11,Bowland030211data
7,2,13,Bowland030211data
3,17,11,Bowland030211data
5,17,18,Bowland030211data
6,7,14,Bowland030211data
11,8,16,Bowland030211data
5,7,18,Bowland030211data
7,4,2,Bowland030211data
10,7,18,Bowland030211data
12,18,10,Bowland030211data
4,9,3,Bowland030211data
1,11,8,Bowland030211data
3,11,4,Bowland030211data
10,7,3,Bowland030211data
12,5,10,Bowland030211data
8,11,2,Bowland030211data
5,7,3,Bowland030211data
1,7,8,Bowland030211data
8,3,2,Bowland030211data
3,10,4,Bowland030211data
2,1,16,Bowland030211data
6,14,12,Bowland030211data
8,14,3,Bowland030211data
7,14,4,Bowland030211data
10,3,4,Bowland030211data
1,18,7,Bowland030211data
12,17,5,Bowland030211data
5,3,16,Bowland030211data
8,11,14,Bowland030211data
10,4,16,Bowland030211data
4,14,9,Bowland030211data
5,16,1,Bowland030211data
1,18,4,Bowland030211data
1,14,4,Bowland030211data
9,5,10,Bowland030211data
7,5,14,Bowland030211data
11,12,16,Bowland030211data
1,14,16,Bowland030211data
10,16,1,Bowland030211data
1,5,16,Bowland030211data
6,6,12,Bowland030211data
2,12,1,Bowland030211data
10,9,1,Bowland030211data
5,9,1,Bowland030211data
3,10,8,Bowland030211data
11,6,12,Bowland030211data
8,17,11,Bowland030211data
1,6,5,Bowland030211data
3,9,8,Bowland030211data
10,5,9,Bowland030211data
2,12,6,Bowland030211data
3,9,5,Bowland030211data
1,10,6,Bowland030211data
12,17,14,Bowland030211data
9,2,12,Bowland030211data
3,11,6,Bowland030211data
4,7,15,Bowland030211data
7,17,1,Bowland030211data
10,13,15,Bowland030211data
12,6,12,Bowland030211data
5,13,6,Bowland030211data
8,18,15,Bowland030211data
1,13,12,Bowland030211data
7,6,16,Bowland030211data
7,7,15,Bowland030211data
3,13,12,Bowland030211data
11,15,13,Bowland030211data
6,3,18,Bowland030211data
12,4,8,Bowland030211data
3,3,1,Bowland030211data
1,15,3,Bowland030211data
1,17,2,Bowland030211data
10,10,2,Bowland030211data
3,14,2,Bowland030211data
5,4,8,Bowland030211data
3,7,16,Bowland030211data
1,11,9,Bowland030211data
3,5,18,Bowland030211data
